City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dikson,100,RU,98,73.5069,80.5464,2.77,18.3
1,Requena,51,ES,52,39.4883,-1.1004,42.51,4.9
2,Thompson,40,CA,59,55.7435,-97.8558,-3.84,4.61
3,Acari,84,PE,72,-15.4311,-74.6158,80.98,10.92
4,Isangel,24,VU,65,-19.55,169.2667,80.2,11.39
5,Mocuba,100,MZ,92,-16.8392,36.9856,74.35,2.53
6,Vanavara,98,RU,100,60.34,102.2797,-28.55,3.2
7,Nanakuli,75,US,81,21.3906,-158.1547,78.12,12.66
8,Hobart,0,AU,73,-42.8794,147.3294,61.23,6.91
9,Rikitea,93,PF,74,-23.1203,-134.9692,79.95,16.31
10,Albany,100,US,34,42.6001,-73.9662,41.34,7.61
11,Leningradskiy,38,RU,99,69.3833,178.4167,-38.02,3.13
12,Deputatskiy,86,RU,88,69.3,139.9,-37.55,4.45
13,Puerto Ayora,47,EC,87,-0.7393,-90.3518,87.76,8.01
14,Yellowknife,20,CA,76,62.456,-114.3525,-17.45,3.44
15,Lompoc,61,US,49,34.6391,-120.4579,70.02,5.01
16,Buritis,99,BR,68,-15.6178,-46.4233,79.63,3.85
17,Victoria,100,HK,75,22.2855,114.1577,71.33,3.0
18,Sidrolandia,5,BR,64,-20.9319,-54.9614,72.01,10.07
19,Bengkulu,100,ID,89,-3.8004,102.2655,75.92,3.09
20,Punta Arenas,75,CL,50,-53.15,-70.9167,55.51,19.57
21,Busselton,79,AU,88,-33.65,115.3333,59.68,11.99
22,Codrington,5,AU,92,-38.2667,141.9667,55.89,6.08
23,Hithadhoo,74,MV,76,-0.6,73.0833,80.94,9.35
24,Bluff,100,NZ,65,-46.6,168.3333,59.81,18.95
25,Barrow,100,US,77,71.2906,-156.7887,-7.58,3.44
26,Port Augusta,1,AU,43,-32.5,137.7667,68.32,6.06
27,Danane,2,CI,28,7.2596,-8.155,75.15,2.68
28,Pisco,0,PE,51,-13.7,-76.2167,86.05,18.41
29,Saint-Pierre,75,RE,69,-21.3393,55.4781,76.68,5.75
30,Kruisfontein,100,ZA,71,-34.0033,24.7314,65.88,1.88
31,Mataura,99,NZ,71,-46.1927,168.8643,59.49,4.97
32,Ushuaia,40,AR,58,-54.8,-68.3,56.82,4.61
33,Qaanaaq,6,GL,55,77.484,-69.3632,-13.88,8.5
34,Kapaa,100,US,90,22.0752,-159.319,75.52,6.91
35,Lohja,100,FI,100,60.2486,24.0653,33.19,4.85
36,Cayenne,75,GF,78,4.9333,-52.3333,80.64,11.5
37,Hambantota,9,LK,87,6.1241,81.1185,75.9,12.55
38,Sovetskiy,87,RU,100,61.3614,63.5842,-13.29,2.93
39,Bambous Virieux,20,MU,78,-20.3428,57.7575,79.05,10.36
40,Sulangan,99,PH,86,11.1373,123.7228,77.0,5.08
41,Madingou,100,CG,86,-4.1536,13.55,77.18,2.24
42,Vaini,75,TO,89,-21.2,-175.2,82.56,5.75
43,New Norfolk,100,AU,63,-42.7826,147.0587,60.89,3.0
44,Viransehir,18,TR,66,37.2353,39.7631,37.08,1.77
45,Kodinar,0,IN,44,20.7903,70.7031,75.13,8.52
46,Kodiak,20,US,75,57.79,-152.4072,36.91,10.36
47,Tuktoyaktuk,20,CA,68,69.4541,-133.0374,-29.2,9.22
48,Mar Del Plata,0,AR,64,-38.0023,-57.5575,64.83,9.22
49,Luebo,100,CD,91,-5.35,21.4167,73.53,0.98
50,Lavrentiya,100,RU,89,65.5833,-171.0,-12.98,7.38
51,Bethel,0,US,38,41.3712,-73.414,43.03,10.36
52,Avera,0,US,30,33.194,-82.5271,58.55,6.76
53,Moses Lake,0,US,43,47.1301,-119.2781,54.28,6.91
54,Sitka,100,US,87,57.0531,-135.33,37.29,12.66
55,Angoche,64,MZ,91,-16.2325,39.9086,76.91,6.46
56,Souillac,20,MU,78,-20.5167,57.5167,79.18,10.36
57,Tiarei,33,PF,73,-17.5333,-149.3333,86.02,12.82
58,Sept-Iles,100,CA,65,50.2001,-66.3821,14.05,10.0
59,Tiksi,46,RU,100,71.6872,128.8694,-27.31,5.5
60,Roald,40,NO,64,62.5833,6.1333,37.76,12.66
61,Palana,100,RU,97,59.1167,159.9667,-12.03,4.76
62,Lagoa,33,PT,82,39.05,-27.9833,58.26,10.18
63,Posse,93,BR,86,-14.0931,-46.3694,70.54,2.15
64,Airai,84,TL,92,-8.9266,125.4092,58.98,0.96
65,Vila Franca Do Campo,60,PT,78,37.7167,-25.4333,55.81,6.49
66,Maloye Verevo,100,RU,91,59.6136,30.1728,24.06,15.43
67,Kahului,20,US,89,20.8947,-156.47,72.97,0.0
68,Mathbaria,72,BD,59,22.2876,89.9593,71.96,4.61
69,Mandera,76,KE,17,3.9366,41.867,84.06,11.1
70,Pevek,99,RU,95,69.7008,170.3133,-35.88,1.01
71,La Ronge,20,CA,55,55.1001,-105.2842,1.65,8.05
72,Saint-Georges,40,GD,69,12.0564,-61.7485,82.08,23.02
73,Cape Town,0,ZA,73,-33.9258,18.4232,70.38,19.57
